Study_Hours_per_Week,Use_of_Educational_Tech,Online_Courses_Completed,Final_Grade,Preferred_Learning_Style
9,Yes,3,1,Visual
6,Yes,6,1,Visual
11,Yes,6,1,Visual
19,No,10,2,Reading/Writing
17,Yes,4,2,Kinesthetic
12,Yes,6,2,Auditory
8,Yes,6,2,Auditory
19,No,6,1,Reading/Writing
11,Yes,6,1,Auditory
8,Yes,6,0,Visual
11,Yes,6,1,Auditory
23,Yes,5,2,Kinesthetic
18,Yes,4,1,Kinesthetic
11,Yes,6,0,Visual
10,No,10,0,Reading/Writing
11,Yes,5,1,Visual
13,Yes,4,1,Visual
9,Yes,4,1,Visual
12,Yes,3,2,Visual
20,No,7,0,Reading/Writing
10,No,10,2,Reading/Writing
8,Yes,4,0,Visual
13,Yes,7,2,Visual
35,Yes,5,2,Kinesthetic
12,No,5,0,Reading/Writing
11,Yes,7,2,Auditory
12,Yes,5,0,Visual
14,Yes,6,1,Auditory
34,Yes,4,3,Kinesthetic
15,Yes,5,1,Kinesthetic
15,No,9,2,Reading/Writing
13,No,5,0,Reading/Writing
12,Yes,3,1,Visual
6,Yes,4,2,Visual
9,Yes,4,1,Auditory
9,Yes,4,2,Visual
37,Yes,3,2,Kinesthetic
15,Yes,4,1,Kinesthetic
20,Yes,4,3,Kinesthetic
28,Yes,2,1,Kinesthetic
20,Yes,4,2,Auditory
11,Yes,6,1,Auditory
10,Yes,8,1,Auditory
18,Yes,3,2,Kinesthetic
21,No,6,2,Reading/Writing
7,Yes,6,2,Visual
11,Yes,8,1,Auditory
15,No,5,2,Reading/Writing
9,Yes,4,2,Visual
12,No,7,0,Reading/Writing
11,Yes,3,1,Visual
21,No,6,0,Reading/Writing
15,Yes,7,0,Visual
9,Yes,7,1,Auditory
15,Yes,8,0,Auditory
10,Yes,4,1,Visual
36,Yes,3,3,Kinesthetic
10,Yes,3,0,Visual
12,No,5,0,Reading/Writing
10,No,9,1,Reading/Writing
23,Yes,2,2,Kinesthetic
21,No,8,0,Reading/Writing
11,Yes,3,0,Visual
13,Yes,4,1,Visual
